fold_id,model,n,mae,rmse,median_absolute_error,directional_accuracy,correlation,mae_improvement_vs_zero_pct
1,autoregressive_ols,12,0.7759178260380031,0.9670358916599432,0.5230865496948922,0.5,-0.8623926390498008,-21.070562468549422
1,last_observed_change,12,1.0887051199241868,1.1786983062171468,1.1923872644571403,0.5833333333333334,-0.9363641264465161,-69.87641836334744
1,moving_average_change_12,12,0.7772638280180306,0.9688618491084399,0.7449786058249348,0.3333333333333333,-0.7648903479093542,-21.28058627691819
1,seasonal_naive_change_12,12,0.8644235750035544,1.0284988873381957,0.7486337623292502,0.08333333333333333,-0.2573887453143803,-34.880582614206844
1,zero_change,12,0.6408806651406809,0.81306524074943,0.5739161801954001,0.0,,0.0
2,autoregressive_ols,12,1.0604172449229894,1.1034016067714056,1.0187915452734009,0.5833333333333334,0.9724907125807338,-186.01046691371286
2,last_observed_change,12,0.44986797241140336,0.5231520706859911,0.4506973574314951,0.5,0.2036604916559691,-21.336152778480077
2,moving_average_change_12,12,0.6743704121220606,0.7350957373450763,0.8288416289119238,0.4166666666666667,0.7245261023524122,-81.88783459272281
2,seasonal_naive_change_12,12,0.81926430351416,0.8535823135861006,0.77260932081117,0.4166666666666667,0.88702411728777,-120.96789456761385
2,zero_change,12,0.3707616914743575,0.42003702110678204,0.29838670210251006,0.0,,0.0
3,autoregressive_ols,12,0.2349522238042873,0.3133518667888331,0.18825347604446474,0.9166666666666666,0.6712655681303882,56.19464930271169
3,last_observed_change,12,0.3617187472202525,0.4389465207192463,0.36104516654253005,0.9166666666666666,-0.5867751665380174,32.5598357010409
3,moving_average_change_12,12,0.5534546408724622,0.609480429572128,0.6407133199021737,0.6666666666666666,-0.8944955898957864,-3.188104568251256
3,seasonal_naive_change_12,12,0.6674852562088208,0.7440255937946908,0.69581916834418,0.5,-0.8575470885108051,-24.448388953546882
3,zero_change,12,0.5363550800629283,0.6042512862778988,0.677747888006755,0.0,,0.0
4,autoregressive_ols,10,0.403225514299301,0.45772460771580287,0.5000351709395512,0.4,0.3428204111814994,-193.4908696215259
4,last_observed_change,10,0.2671983633478191,0.3260484905833374,0.248515779969535,0.7,-0.3223759841414649,-94.48243536045464
4,moving_average_change_12,10,0.43716147083673934,0.45857630879180405,0.4264860450983091,0.8,0.48357108661083376,-218.1914231391245
4,seasonal_naive_change_12,10,0.5356580489318609,0.5489759505112476,0.52163757930624,0.8,0.8006796484093495,-289.882934054836
4,zero_change,10,0.13738945774336506,0.1683893198647613,0.105298492974915,0.0,,0.0
all,autoregressive_ols,46,0.6279935365255732,0.7954385327704672,0.521212110598829,0.6086956521739131,0.4607023226272831,-44.80150312973979
all,last_observed_change,46,0.5538149066988761,0.7121824722279616,0.4208020070416698,0.6739130434782609,0.20815099702451545,-27.69754190358331
all,moving_average_change_12,46,0.6181017669677834,0.7269535501409586,0.593525846273721,0.5434782608695652,-0.06506823136086386,-42.52067853956085
all,seasonal_naive_change_12,46,0.7297969153486311,0.8221602996259922,0.6796287383017349,0.43478260869565216,-0.0452101005306974,-68.275124146323
all,zero_change,46,0.4336926916862881,0.5655904812065952,0.29838670210251006,0.0,,0.0
