model,method,feature,folds,mean_rank,rank_standard_deviation,best_rank,worst_rank,top_5_fold_share,top_10_fold_share,mean_normalized_importance,importance_range
elastic_net,standardized_linear_contribution,npl90_rolling_mean_12m,4,4.625,4.6012905798264905,1.0,12.5,0.75,0.75,0.14417143385424513,0.3770174466027203
elastic_net,standardized_linear_contribution,tpm_monthly_average,4,5.625,4.233423555469025,1.0,12.5,0.75,0.75,0.274769611688334,0.9171171827305692
elastic_net,standardized_linear_contribution,real_consumer_loans_yoy_pct,4,8.125,6.748842493346544,1.0,16.5,0.5,0.5,0.2792829125113279,1.0
elastic_net,standardized_linear_contribution,imacec_yoy_pct,4,8.375,4.865375114007141,1.0,13.0,0.25,0.5,0.1279793518240145,0.4976947028433678
elastic_net,standardized_linear_contribution,month_sin,4,10.375,2.484325864293974,7.0,13.0,0.0,0.5,0.010753576282900594,0.030344178555789695
elastic_net,standardized_linear_contribution,real_m1_yoy_pct,4,10.875,5.295930041078715,2.0,16.0,0.25,0.25,0.06110666912848439,0.24442667651393757
elastic_net,standardized_linear_contribution,tpm_change_3m_pp,4,11.125,4.878204075271964,3.0,16.0,0.25,0.25,0.03558204194118065,0.1423281677647226
elastic_net,standardized_linear_contribution,npl90_rolling_mean_6m,4,11.5,4.596194077712559,4.0,16.5,0.25,0.25,0.024571206360467633,0.09828482544187053
elastic_net,standardized_linear_contribution,npl90_lag_1m,4,11.625,4.052391269361832,5.0,16.0,0.25,0.25,0.0168360181356819,0.0673440725427276
elastic_net,standardized_linear_contribution,npl90_lag_12m,4,11.875,3.6464880364537056,6.0,16.0,0.0,0.25,0.005220062144569992,0.02088024857827997
elastic_net,standardized_linear_contribution,npl90_level_t,4,12.0,3.7914377220257753,6.0,16.5,0.0,0.25,0.008864942530138021,0.035459770120552084
elastic_net,standardized_linear_contribution,unemployment_rate,4,12.375,2.858649156507318,8.0,16.0,0.0,0.25,0.0034400520924259977,0.01376020836970399
elastic_net,standardized_linear_contribution,npl90_rolling_mean_3m,4,12.5,3.020761493398643,8.0,16.5,0.0,0.25,0.007422121506229221,0.029688486024916885
elastic_net,standardized_linear_contribution,consumer_lending_rate,4,14.5,1.7677669529663689,12.5,16.5,0.0,0.0,0.0,0.0
elastic_net,standardized_linear_contribution,consumer_lending_rate_change_3m_pp,4,14.5,1.7677669529663689,12.5,16.5,0.0,0.0,0.0,0.0
elastic_net,standardized_linear_contribution,ipc_yoy,4,14.5,1.7677669529663689,12.5,16.5,0.0,0.0,0.0,0.0
elastic_net,standardized_linear_contribution,month_cos,4,14.5,1.7677669529663689,12.5,16.5,0.0,0.0,0.0,0.0
elastic_net,standardized_linear_contribution,npl90_change_12m_pp,4,14.5,1.7677669529663689,12.5,16.5,0.0,0.0,0.0,0.0
elastic_net,standardized_linear_contribution,npl90_change_1m_pp,4,14.5,1.7677669529663689,12.5,16.5,0.0,0.0,0.0,0.0
