fold_id,model,method,feature,origins,mean_absolute_attribution,normalized_importance,mean_signed_attribution,attribution_positive_share,attribution_negative_share,attribution_zero_share,attribution_sign_consistency,mean_model_weight,weight_positive_share,weight_negative_share,weight_zero_share,weight_sign_consistency,rank
all,elastic_net,standardized_linear_contribution,imacec_yoy_pct,46,0.08226335497867632,0.3020311484957334,0.07967871250280292,0.30434782608695654,0.17391304347826086,0.5217391304347826,0.5217391304347826,0.031494947968712016,0.4782608695652174,0.0,0.5217391304347826,0.5217391304347826,1.0
all,elastic_net,standardized_linear_contribution,npl90_rolling_mean_12m,46,0.05510300566479824,0.20231151635889327,-0.016711866941349775,0.17391304347826086,0.2391304347826087,0.5869565217391305,0.5869565217391305,-0.0242402933891529,0.0,0.41304347826086957,0.5869565217391305,0.5869565217391305,2.0
all,elastic_net,standardized_linear_contribution,real_consumer_loans_yoy_pct,46,0.03015163689738493,0.11070218961412505,-0.03015163689738493,0.0,0.10869565217391304,0.8913043478260869,0.8913043478260869,0.006367117569328501,0.10869565217391304,0.0,0.8913043478260869,0.8913043478260869,3.0
all,elastic_net,standardized_linear_contribution,tpm_monthly_average,46,0.0257210181403702,0.09443510602539015,0.025524994053660023,0.21739130434782608,0.021739130434782608,0.7608695652173914,0.7608695652173914,0.010899035694333495,0.2391304347826087,0.0,0.7608695652173914,0.7608695652173914,4.0
all,elastic_net,standardized_linear_contribution,real_m1_yoy_pct,46,0.02321613173850036,0.0852383778223622,0.02321613173850036,0.21739130434782608,0.0,0.782608695652174,0.782608695652174,-0.016241728464508432,0.0,0.21739130434782608,0.782608695652174,0.782608695652174,5.0
all,elastic_net,standardized_linear_contribution,npl90_rolling_mean_6m,46,0.015978603739712386,0.05866568461880167,0.015978603739712386,0.06521739130434782,0.0,0.9347826086956522,0.9347826086956522,-0.003552213743486656,0.0,0.06521739130434782,0.9347826086956522,0.9347826086956522,6.0
all,elastic_net,standardized_linear_contribution,tpm_change_3m_pp,46,0.013518612371005927,0.049633789207137555,-0.013518612371005927,0.0,0.1956521739130435,0.8043478260869565,0.8043478260869565,0.010424528572381244,0.1956521739130435,0.0,0.8043478260869565,0.8043478260869565,7.0
all,elastic_net,standardized_linear_contribution,npl90_lag_1m,46,0.006396473912985262,0.023484750442803095,-0.006396473912985262,0.0,0.10869565217391304,0.8913043478260869,0.8913043478260869,-0.0031409561921169273,0.0,0.10869565217391304,0.8913043478260869,0.8913043478260869,8.0
all,elastic_net,standardized_linear_contribution,month_sin,46,0.006136622664235771,0.02253070266395669,0.002280967578975112,0.2391304347826087,0.2391304347826087,0.5217391304347826,0.5217391304347826,-0.007055624866878164,0.0,0.4782608695652174,0.5217391304347826,0.5217391304347826,9.0
all,elastic_net,standardized_linear_contribution,npl90_level_t,46,0.005764853454338208,0.021165746402814434,0.005764853454338208,0.043478260869565216,0.0,0.9565217391304348,0.9565217391304348,-0.0015059331470224917,0.0,0.043478260869565216,0.9565217391304348,0.9565217391304348,10.0
all,elastic_net,standardized_linear_contribution,npl90_rolling_mean_3m,46,0.004826589981631529,0.01772089791193231,0.004826589981631529,0.021739130434782608,0.0,0.9782608695652174,0.9782608695652174,-0.0011918307371662957,0.0,0.021739130434782608,0.9782608695652174,0.9782608695652174,11.0
all,elastic_net,standardized_linear_contribution,npl90_lag_12m,46,0.0019832475269872638,0.007281523206566949,0.0019832475269872638,0.043478260869565216,0.0,0.9565217391304348,0.9565217391304348,-0.0009454007122872586,0.0,0.043478260869565216,0.9565217391304348,0.9565217391304348,12.0
all,elastic_net,standardized_linear_contribution,unemployment_rate,46,0.001306971950919797,0.004798567229483149,-0.001306971950919797,0.0,0.13043478260869565,0.8695652173913043,0.8695652173913043,-0.0018513167374783293,0.0,0.13043478260869565,0.8695652173913043,0.8695652173913043,13.0
