model,method,left_fold,right_fold,features,spearman_rank_correlation
elastic_net,standardized_linear_contribution,1,2,23,0.377917529647808
elastic_net,standardized_linear_contribution,1,3,23,-0.06572716413465647
elastic_net,standardized_linear_contribution,1,4,23,-0.16427391877398578
elastic_net,standardized_linear_contribution,2,3,23,0.4347983288570225
elastic_net,standardized_linear_contribution,2,4,23,0.17814832937084948
elastic_net,standardized_linear_contribution,3,4,23,0.49803008326246295
random_forest,mean_decrease_impurity,1,2,23,0.6047430830039525
random_forest,mean_decrease_impurity,1,3,23,0.30335968379446643
random_forest,mean_decrease_impurity,1,4,23,0.14525691699604742
random_forest,mean_decrease_impurity,2,3,23,0.8488142292490118
random_forest,mean_decrease_impurity,2,4,23,0.5316205533596838
random_forest,mean_decrease_impurity,3,4,23,0.7845849802371542
xgboost,tree_shap,1,2,23,0.674901185770751
xgboost,tree_shap,1,3,23,0.1590909090909091
xgboost,tree_shap,1,4,23,0.0691699604743083
xgboost,tree_shap,2,3,23,0.5375494071146245
xgboost,tree_shap,2,4,23,0.40019762845849804
xgboost,tree_shap,3,4,23,0.6017786561264822
