scenario,horizon_months,training_scheme,fold_id,model,n,mae,rmse,median_absolute_error,directional_accuracy,correlation,mae_improvement_vs_zero_pct
h12_expanding,12,expanding,1,elastic_net,12,0.8304811418415264,0.9743557498952736,0.8740422491443363,0.75,-0.852854035555955,-1.253876016938243
h12_expanding,12,expanding,1,zero_change,12,0.8201968897492867,0.9593058044880455,0.92257565260578,0.0,,0.0
h12_expanding,12,expanding,2,elastic_net,12,0.9373055332947384,1.1291645051484602,0.968800028268045,0.6666666666666666,0.27519576531299955,-14.35346988561265
h12_expanding,12,expanding,2,zero_change,12,0.8196563989114818,0.9714992838197883,0.8682637950158452,0.0,,0.0
h12_expanding,12,expanding,3,elastic_net,12,0.4659194258256103,0.5087834271717837,0.5045708150692017,1.0,0.8874115421643687,37.66207630287392
h12_expanding,12,expanding,3,zero_change,12,0.747409278642834,0.8303695521533047,0.7301314384441598,0.0,,0.0
h12_expanding,12,expanding,4,elastic_net,10,0.2771533191116252,0.31848540126538577,0.31795683033932765,0.9,0.9134363749556087,-63.76246045919012
h12_expanding,12,expanding,4,zero_change,10,0.16924105703742298,0.21351550035637246,0.10235535347166991,0.0,,0.0
h12_expanding,12,expanding,all,elastic_net,46,0.6429566609273643,0.8184454471988145,0.4746130135326732,0.8260869565217391,0.4367776498617865,2.5166974757648943
h12_expanding,12,expanding,all,zero_change,46,0.6595556821308144,0.8222317671050183,0.502503489931115,0.0,,0.0
h12_rolling,12,rolling,1,elastic_net,12,0.979976952615892,1.0904609708871744,1.1911210820983036,0.4166666666666667,-0.8209219684007368,-19.48069602110366
h12_rolling,12,rolling,1,zero_change,12,0.8201968897492867,0.9593058044880455,0.92257565260578,0.0,,0.0
h12_rolling,12,rolling,2,elastic_net,12,0.7347714445275167,1.0017575382588446,0.6698979024210248,0.9166666666666666,0.6291070316874197,10.35616320408085
h12_rolling,12,rolling,2,zero_change,12,0.8196563989114818,0.9714992838197883,0.8682637950158452,0.0,,0.0
h12_rolling,12,rolling,3,elastic_net,12,0.6117458343903106,0.7044478706187621,0.57790684748304,1.0,-0.5629179454946994,18.15115869298074
h12_rolling,12,rolling,3,zero_change,12,0.747409278642834,0.8303695521533047,0.7301314384441598,0.0,,0.0
h12_rolling,12,rolling,4,elastic_net,10,0.360891063714528,0.38284008590490454,0.4063352649542415,0.8,0.8962417283172519,-113.24084712773148
h12_rolling,12,rolling,4,zero_change,10,0.16924105703742298,0.21351550035637246,0.10235535347166991,0.0,,0.0
h12_rolling,12,rolling,all,elastic_net,46,0.685366117729346,0.8563332660450538,0.5324268637374776,0.782608695652174,0.4508592045126038,-3.913306533141566
h12_rolling,12,rolling,all,zero_change,46,0.6595556821308144,0.8222317671050183,0.502503489931115,0.0,,0.0
h3_expanding,3,expanding,1,elastic_net,12,0.3657188219012164,0.5393700722610026,0.19119358454352758,0.5833333333333334,-0.4128889574168613,2.271702789031767
h3_expanding,3,expanding,1,zero_change,12,0.37421998780121085,0.5309858987546076,0.23423162745729986,0.0,,0.0
