fold_id,outer_test_start,model,candidate_id,parameters,inner_mae,inner_validation_origins,inner_validation_start,inner_validation_end,minimum_inner_training_rows,maximum_inner_purged_rows,selected,scenario,horizon_months,training_scheme
1,2020-03-01,elastic_net,1,"{""alpha"":0.001,""l1_ratio"":0.1,""max_iter"":20000}",0.197391970909137,12,2019-01-01,2019-12-01,44,2,0,h3_expanding,3,expanding
1,2020-03-01,elastic_net,2,"{""alpha"":0.001,""l1_ratio"":0.5,""max_iter"":20000}",0.19475900901340848,12,2019-01-01,2019-12-01,44,2,0,h3_expanding,3,expanding
1,2020-03-01,elastic_net,3,"{""alpha"":0.001,""l1_ratio"":0.9,""max_iter"":20000}",0.18880509413752,12,2019-01-01,2019-12-01,44,2,0,h3_expanding,3,expanding
1,2020-03-01,elastic_net,4,"{""alpha"":0.01,""l1_ratio"":0.1,""max_iter"":20000}",0.1763010406316092,12,2019-01-01,2019-12-01,44,2,0,h3_expanding,3,expanding
1,2020-03-01,elastic_net,5,"{""alpha"":0.01,""l1_ratio"":0.5,""max_iter"":20000}",0.13941456638172303,12,2019-01-01,2019-12-01,44,2,0,h3_expanding,3,expanding
1,2020-03-01,elastic_net,6,"{""alpha"":0.01,""l1_ratio"":0.9,""max_iter"":20000}",0.12770868796081172,12,2019-01-01,2019-12-01,44,2,0,h3_expanding,3,expanding
1,2020-03-01,elastic_net,7,"{""alpha"":0.1,""l1_ratio"":0.1,""max_iter"":20000}",0.11937724567460549,12,2019-01-01,2019-12-01,44,2,0,h3_expanding,3,expanding
1,2020-03-01,elastic_net,8,"{""alpha"":0.1,""l1_ratio"":0.5,""max_iter"":20000}",0.10187013123599843,12,2019-01-01,2019-12-01,44,2,0,h3_expanding,3,expanding
1,2020-03-01,elastic_net,9,"{""alpha"":0.1,""l1_ratio"":0.9,""max_iter"":20000}",0.10048926523313113,12,2019-01-01,2019-12-01,44,2,1,h3_expanding,3,expanding
1,2020-03-01,elastic_net,10,"{""alpha"":0.5,""l1_ratio"":0.1,""max_iter"":20000}",0.1018576478945734,12,2019-01-01,2019-12-01,44,2,0,h3_expanding,3,expanding
1,2020-03-01,elastic_net,11,"{""alpha"":0.5,""l1_ratio"":0.5,""max_iter"":20000}",0.10048926523313113,12,2019-01-01,2019-12-01,44,2,0,h3_expanding,3,expanding
1,2020-03-01,elastic_net,12,"{""alpha"":0.5,""l1_ratio"":0.9,""max_iter"":20000}",0.10048926523313113,12,2019-01-01,2019-12-01,44,2,0,h3_expanding,3,expanding
2,2021-03-01,elastic_net,1,"{""alpha"":0.001,""l1_ratio"":0.1,""max_iter"":20000}",0.4323216635055205,12,2020-01-01,2020-12-01,56,2,0,h3_expanding,3,expanding
2,2021-03-01,elastic_net,2,"{""alpha"":0.001,""l1_ratio"":0.5,""max_iter"":20000}",0.4310001323183012,12,2020-01-01,2020-12-01,56,2,0,h3_expanding,3,expanding
2,2021-03-01,elastic_net,3,"{""alpha"":0.001,""l1_ratio"":0.9,""max_iter"":20000}",0.43312111265903736,12,2020-01-01,2020-12-01,56,2,0,h3_expanding,3,expanding
2,2021-03-01,elastic_net,4,"{""alpha"":0.01,""l1_ratio"":0.1,""max_iter"":20000}",0.42445266998513925,12,2020-01-01,2020-12-01,56,2,0,h3_expanding,3,expanding
2,2021-03-01,elastic_net,5,"{""alpha"":0.01,""l1_ratio"":0.5,""max_iter"":20000}",0.45919577065034667,12,2020-01-01,2020-12-01,56,2,0,h3_expanding,3,expanding
2,2021-03-01,elastic_net,6,"{""alpha"":0.01,""l1_ratio"":0.9,""max_iter"":20000}",0.5217242147699704,12,2020-01-01,2020-12-01,56,2,0,h3_expanding,3,expanding
2,2021-03-01,elastic_net,7,"{""alpha"":0.1,""l1_ratio"":0.1,""max_iter"":20000}",0.5327585435062991,12,2020-01-01,2020-12-01,56,2,0,h3_expanding,3,expanding
2,2021-03-01,elastic_net,8,"{""alpha"":0.1,""l1_ratio"":0.5,""max_iter"":20000}",0.42666732614688385,12,2020-01-01,2020-12-01,56,2,0,h3_expanding,3,expanding
2,2021-03-01,elastic_net,9,"{""alpha"":0.1,""l1_ratio"":0.9,""max_iter"":20000}",0.3980835067481785,12,2020-01-01,2020-12-01,56,2,1,h3_expanding,3,expanding
2,2021-03-01,elastic_net,10,"{""alpha"":0.5,""l1_ratio"":0.1,""max_iter"":20000}",0.4424255518782843,12,2020-01-01,2020-12-01,56,2,0,h3_expanding,3,expanding
2,2021-03-01,elastic_net,11,"{""alpha"":0.5,""l1_ratio"":0.5,""max_iter"":20000}",0.4142462728346589,12,2020-01-01,2020-12-01,56,2,0,h3_expanding,3,expanding
2,2021-03-01,elastic_net,12,"{""alpha"":0.5,""l1_ratio"":0.9,""max_iter"":20000}",0.4142462728346589,12,2020-01-01,2020-12-01,56,2,0,h3_expanding,3,expanding
3,2022-03-01,elastic_net,1,"{""alpha"":0.001,""l1_ratio"":0.1,""max_iter"":20000}",0.7279960327118458,12,2021-01-01,2021-12-01,68,2,0,h3_expanding,3,expanding
3,2022-03-01,elastic_net,2,"{""alpha"":0.001,""l1_ratio"":0.5,""max_iter"":20000}",0.7013640125034429,12,2021-01-01,2021-12-01,68,2,0,h3_expanding,3,expanding
3,2022-03-01,elastic_net,3,"{""alpha"":0.001,""l1_ratio"":0.9,""max_iter"":20000}",0.663793316209654,12,2021-01-01,2021-12-01,68,2,0,h3_expanding,3,expanding
