fold_id,outer_test_start,model,candidate_id,parameters,inner_mae,inner_validation_origins,inner_validation_start,inner_validation_end,minimum_inner_training_rows,maximum_inner_purged_rows,selected
1,2020-03-01,elastic_net,1,"{""alpha"":0.001,""l1_ratio"":0.1,""max_iter"":20000}",0.2101699318976916,12,2018-10-01,2019-09-01,38,5,0
1,2020-03-01,elastic_net,2,"{""alpha"":0.001,""l1_ratio"":0.5,""max_iter"":20000}",0.21959071256086393,12,2018-10-01,2019-09-01,38,5,0
1,2020-03-01,elastic_net,3,"{""alpha"":0.001,""l1_ratio"":0.9,""max_iter"":20000}",0.2228328060289485,12,2018-10-01,2019-09-01,38,5,0
1,2020-03-01,elastic_net,4,"{""alpha"":0.01,""l1_ratio"":0.1,""max_iter"":20000}",0.21951881352711453,12,2018-10-01,2019-09-01,38,5,0
1,2020-03-01,elastic_net,5,"{""alpha"":0.01,""l1_ratio"":0.5,""max_iter"":20000}",0.20431544437628502,12,2018-10-01,2019-09-01,38,5,0
1,2020-03-01,elastic_net,6,"{""alpha"":0.01,""l1_ratio"":0.9,""max_iter"":20000}",0.1992113192938533,12,2018-10-01,2019-09-01,38,5,0
1,2020-03-01,elastic_net,7,"{""alpha"":0.1,""l1_ratio"":0.1,""max_iter"":20000}",0.19585233491612267,12,2018-10-01,2019-09-01,38,5,0
1,2020-03-01,elastic_net,8,"{""alpha"":0.1,""l1_ratio"":0.5,""max_iter"":20000}",0.19813158587067994,12,2018-10-01,2019-09-01,38,5,0
1,2020-03-01,elastic_net,9,"{""alpha"":0.1,""l1_ratio"":0.9,""max_iter"":20000}",0.18841490749978926,12,2018-10-01,2019-09-01,38,5,0
1,2020-03-01,elastic_net,10,"{""alpha"":0.5,""l1_ratio"":0.1,""max_iter"":20000}",0.19487662695032246,12,2018-10-01,2019-09-01,38,5,0
1,2020-03-01,elastic_net,11,"{""alpha"":0.5,""l1_ratio"":0.5,""max_iter"":20000}",0.18710914738989373,12,2018-10-01,2019-09-01,38,5,1
1,2020-03-01,elastic_net,12,"{""alpha"":0.5,""l1_ratio"":0.9,""max_iter"":20000}",0.18710914738989373,12,2018-10-01,2019-09-01,38,5,0
1,2020-03-01,random_forest,1,"{""max_depth"":2,""max_features"":0.5,""min_samples_leaf"":2,""n_estimators"":200}",0.21607897645052976,12,2018-10-01,2019-09-01,38,5,0
1,2020-03-01,random_forest,2,"{""max_depth"":2,""max_features"":1.0,""min_samples_leaf"":2,""n_estimators"":200}",0.22266008199771817,12,2018-10-01,2019-09-01,38,5,0
1,2020-03-01,random_forest,3,"{""max_depth"":2,""max_features"":0.5,""min_samples_leaf"":5,""n_estimators"":200}",0.21671158384545938,12,2018-10-01,2019-09-01,38,5,0
1,2020-03-01,random_forest,4,"{""max_depth"":2,""max_features"":1.0,""min_samples_leaf"":5,""n_estimators"":200}",0.22345615539738828,12,2018-10-01,2019-09-01,38,5,0
1,2020-03-01,random_forest,5,"{""max_depth"":4,""max_features"":0.5,""min_samples_leaf"":2,""n_estimators"":200}",0.2140932471505799,12,2018-10-01,2019-09-01,38,5,1
1,2020-03-01,random_forest,6,"{""max_depth"":4,""max_features"":1.0,""min_samples_leaf"":2,""n_estimators"":200}",0.22059007861824717,12,2018-10-01,2019-09-01,38,5,0
1,2020-03-01,random_forest,7,"{""max_depth"":4,""max_features"":0.5,""min_samples_leaf"":5,""n_estimators"":200}",0.21660071601629857,12,2018-10-01,2019-09-01,38,5,0
1,2020-03-01,random_forest,8,"{""max_depth"":4,""max_features"":1.0,""min_samples_leaf"":5,""n_estimators"":200}",0.22394606654735028,12,2018-10-01,2019-09-01,38,5,0
1,2020-03-01,xgboost,1,"{""colsample_bytree"":0.8,""learning_rate"":0.03,""max_depth"":2,""min_child_weight"":2.0,""n_estimators"":150,""reg_lambda"":1.0,""subsample"":0.8}",0.1990507193748846,12,2018-10-01,2019-09-01,38,5,1
1,2020-03-01,xgboost,2,"{""colsample_bytree"":0.8,""learning_rate"":0.03,""max_depth"":2,""min_child_weight"":5.0,""n_estimators"":150,""reg_lambda"":1.0,""subsample"":0.8}",0.20011574166758675,12,2018-10-01,2019-09-01,38,5,0
1,2020-03-01,xgboost,3,"{""colsample_bytree"":0.8,""learning_rate"":0.1,""max_depth"":2,""min_child_weight"":2.0,""n_estimators"":150,""reg_lambda"":1.0,""subsample"":0.8}",0.20049802645662249,12,2018-10-01,2019-09-01,38,5,0
1,2020-03-01,xgboost,4,"{""colsample_bytree"":0.8,""learning_rate"":0.1,""max_depth"":2,""min_child_weight"":5.0,""n_estimators"":150,""reg_lambda"":1.0,""subsample"":0.8}",0.20069973855876333,12,2018-10-01,2019-09-01,38,5,0
1,2020-03-01,xgboost,5,"{""colsample_bytree"":0.8,""learning_rate"":0.03,""max_depth"":3,""min_child_weight"":2.0,""n_estimators"":150,""reg_lambda"":1.0,""subsample"":0.8}",0.1993846392244418,12,2018-10-01,2019-09-01,38,5,0
1,2020-03-01,xgboost,6,"{""colsample_bytree"":0.8,""learning_rate"":0.03,""max_depth"":3,""min_child_weight"":5.0,""n_estimators"":150,""reg_lambda"":1.0,""subsample"":0.8}",0.20148393238405046,12,2018-10-01,2019-09-01,38,5,0
1,2020-03-01,xgboost,7,"{""colsample_bytree"":0.8,""learning_rate"":0.1,""max_depth"":3,""min_child_weight"":2.0,""n_estimators"":150,""reg_lambda"":1.0,""subsample"":0.8}",0.2026645719796426,12,2018-10-01,2019-09-01,38,5,0
1,2020-03-01,xgboost,8,"{""colsample_bytree"":0.8,""learning_rate"":0.1,""max_depth"":3,""min_child_weight"":5.0,""n_estimators"":150,""reg_lambda"":1.0,""subsample"":0.8}",0.20743265746292627,12,2018-10-01,2019-09-01,38,5,0
2,2021-03-01,elastic_net,1,"{""alpha"":0.001,""l1_ratio"":0.1,""max_iter"":20000}",0.8328793835280014,12,2019-10-01,2020-09-01,50,5,0
2,2021-03-01,elastic_net,2,"{""alpha"":0.001,""l1_ratio"":0.5,""max_iter"":20000}",0.8186648700066547,12,2019-10-01,2020-09-01,50,5,0
2,2021-03-01,elastic_net,3,"{""alpha"":0.001,""l1_ratio"":0.9,""max_iter"":20000}",0.7843934992719953,12,2019-10-01,2020-09-01,50,5,0
2,2021-03-01,elastic_net,4,"{""alpha"":0.01,""l1_ratio"":0.1,""max_iter"":20000}",0.731536523672854,12,2019-10-01,2020-09-01,50,5,0
2,2021-03-01,elastic_net,5,"{""alpha"":0.01,""l1_ratio"":0.5,""max_iter"":20000}",0.7807781307879567,12,2019-10-01,2020-09-01,50,5,0
2,2021-03-01,elastic_net,6,"{""alpha"":0.01,""l1_ratio"":0.9,""max_iter"":20000}",0.8059160229815149,12,2019-10-01,2020-09-01,50,5,0
2,2021-03-01,elastic_net,7,"{""alpha"":0.1,""l1_ratio"":0.1,""max_iter"":20000}",0.8389780797333507,12,2019-10-01,2020-09-01,50,5,0
2,2021-03-01,elastic_net,8,"{""alpha"":0.1,""l1_ratio"":0.5,""max_iter"":20000}",0.8400178093565128,12,2019-10-01,2020-09-01,50,5,0
2,2021-03-01,elastic_net,9,"{""alpha"":0.1,""l1_ratio"":0.9,""max_iter"":20000}",0.7227265442519127,12,2019-10-01,2020-09-01,50,5,1
2,2021-03-01,elastic_net,10,"{""alpha"":0.5,""l1_ratio"":0.1,""max_iter"":20000}",0.807047229134482,12,2019-10-01,2020-09-01,50,5,0
2,2021-03-01,elastic_net,11,"{""alpha"":0.5,""l1_ratio"":0.5,""max_iter"":20000}",0.7227265442519127,12,2019-10-01,2020-09-01,50,5,0
2,2021-03-01,elastic_net,12,"{""alpha"":0.5,""l1_ratio"":0.9,""max_iter"":20000}",0.7227265442519127,12,2019-10-01,2020-09-01,50,5,0
2,2021-03-01,random_forest,1,"{""max_depth"":2,""max_features"":0.5,""min_samples_leaf"":2,""n_estimators"":200}",0.7997824285693153,12,2019-10-01,2020-09-01,50,5,0
2,2021-03-01,random_forest,2,"{""max_depth"":2,""max_features"":1.0,""min_samples_leaf"":2,""n_estimators"":200}",0.8086962590751726,12,2019-10-01,2020-09-01,50,5,0
2,2021-03-01,random_forest,3,"{""max_depth"":2,""max_features"":0.5,""min_samples_leaf"":5,""n_estimators"":200}",0.7922216129601427,12,2019-10-01,2020-09-01,50,5,1
2,2021-03-01,random_forest,4,"{""max_depth"":2,""max_features"":1.0,""min_samples_leaf"":5,""n_estimators"":200}",0.8040037414326077,12,2019-10-01,2020-09-01,50,5,0
2,2021-03-01,random_forest,5,"{""max_depth"":4,""max_features"":0.5,""min_samples_leaf"":2,""n_estimators"":200}",0.8062360207299327,12,2019-10-01,2020-09-01,50,5,0
2,2021-03-01,random_forest,6,"{""max_depth"":4,""max_features"":1.0,""min_samples_leaf"":2,""n_estimators"":200}",0.8180125803881392,12,2019-10-01,2020-09-01,50,5,0
2,2021-03-01,random_forest,7,"{""max_depth"":4,""max_features"":0.5,""min_samples_leaf"":5,""n_estimators"":200}",0.7948493584289538,12,2019-10-01,2020-09-01,50,5,0
2,2021-03-01,random_forest,8,"{""max_depth"":4,""max_features"":1.0,""min_samples_leaf"":5,""n_estimators"":200}",0.8076609484404463,12,2019-10-01,2020-09-01,50,5,0
2,2021-03-01,xgboost,1,"{""colsample_bytree"":0.8,""learning_rate"":0.03,""max_depth"":2,""min_child_weight"":2.0,""n_estimators"":150,""reg_lambda"":1.0,""subsample"":0.8}",0.8022567673166928,12,2019-10-01,2020-09-01,50,5,1
2,2021-03-01,xgboost,2,"{""colsample_bytree"":0.8,""learning_rate"":0.03,""max_depth"":2,""min_child_weight"":5.0,""n_estimators"":150,""reg_lambda"":1.0,""subsample"":0.8}",0.8090865334852624,12,2019-10-01,2020-09-01,50,5,0
2,2021-03-01,xgboost,3,"{""colsample_bytree"":0.8,""learning_rate"":0.1,""max_depth"":2,""min_child_weight"":2.0,""n_estimators"":150,""reg_lambda"":1.0,""subsample"":0.8}",0.8100629669970858,12,2019-10-01,2020-09-01,50,5,0
2,2021-03-01,xgboost,4,"{""colsample_bytree"":0.8,""learning_rate"":0.1,""max_depth"":2,""min_child_weight"":5.0,""n_estimators"":150,""reg_lambda"":1.0,""subsample"":0.8}",0.8248229173393052,12,2019-10-01,2020-09-01,50,5,0
2,2021-03-01,xgboost,5,"{""colsample_bytree"":0.8,""learning_rate"":0.03,""max_depth"":3,""min_child_weight"":2.0,""n_estimators"":150,""reg_lambda"":1.0,""subsample"":0.8}",0.8111228831294484,12,2019-10-01,2020-09-01,50,5,0
2,2021-03-01,xgboost,6,"{""colsample_bytree"":0.8,""learning_rate"":0.03,""max_depth"":3,""min_child_weight"":5.0,""n_estimators"":150,""reg_lambda"":1.0,""subsample"":0.8}",0.8238845867539161,12,2019-10-01,2020-09-01,50,5,0
2,2021-03-01,xgboost,7,"{""colsample_bytree"":0.8,""learning_rate"":0.1,""max_depth"":3,""min_child_weight"":2.0,""n_estimators"":150,""reg_lambda"":1.0,""subsample"":0.8}",0.8028810060629336,12,2019-10-01,2020-09-01,50,5,0
2,2021-03-01,xgboost,8,"{""colsample_bytree"":0.8,""learning_rate"":0.1,""max_depth"":3,""min_child_weight"":5.0,""n_estimators"":150,""reg_lambda"":1.0,""subsample"":0.8}",0.8228768167209837,12,2019-10-01,2020-09-01,50,5,0
3,2022-03-01,elastic_net,1,"{""alpha"":0.001,""l1_ratio"":0.1,""max_iter"":20000}",1.8043705558750613,12,2020-10-01,2021-09-01,62,5,0
3,2022-03-01,elastic_net,2,"{""alpha"":0.001,""l1_ratio"":0.5,""max_iter"":20000}",1.7735801648727954,12,2020-10-01,2021-09-01,62,5,0
3,2022-03-01,elastic_net,3,"{""alpha"":0.001,""l1_ratio"":0.9,""max_iter"":20000}",1.7329050751000803,12,2020-10-01,2021-09-01,62,5,0
3,2022-03-01,elastic_net,4,"{""alpha"":0.01,""l1_ratio"":0.1,""max_iter"":20000}",1.5923483988947937,12,2020-10-01,2021-09-01,62,5,0
3,2022-03-01,elastic_net,5,"{""alpha"":0.01,""l1_ratio"":0.5,""max_iter"":20000}",1.2623033671227162,12,2020-10-01,2021-09-01,62,5,0
3,2022-03-01,elastic_net,6,"{""alpha"":0.01,""l1_ratio"":0.9,""max_iter"":20000}",1.017794469480459,12,2020-10-01,2021-09-01,62,5,0
3,2022-03-01,elastic_net,7,"{""alpha"":0.1,""l1_ratio"":0.1,""max_iter"":20000}",0.8680717042456356,12,2020-10-01,2021-09-01,62,5,0
3,2022-03-01,elastic_net,8,"{""alpha"":0.1,""l1_ratio"":0.5,""max_iter"":20000}",0.7020395220553378,12,2020-10-01,2021-09-01,62,5,0
3,2022-03-01,elastic_net,9,"{""alpha"":0.1,""l1_ratio"":0.9,""max_iter"":20000}",0.6828263412864461,12,2020-10-01,2021-09-01,62,5,0
3,2022-03-01,elastic_net,10,"{""alpha"":0.5,""l1_ratio"":0.1,""max_iter"":20000}",0.5111237932340564,12,2020-10-01,2021-09-01,62,5,0
3,2022-03-01,elastic_net,11,"{""alpha"":0.5,""l1_ratio"":0.5,""max_iter"":20000}",0.15804265683838964,12,2020-10-01,2021-09-01,62,5,1
3,2022-03-01,elastic_net,12,"{""alpha"":0.5,""l1_ratio"":0.9,""max_iter"":20000}",0.16423648323919746,12,2020-10-01,2021-09-01,62,5,0
3,2022-03-01,random_forest,1,"{""max_depth"":2,""max_features"":0.5,""min_samples_leaf"":2,""n_estimators"":200}",0.21272036011699302,12,2020-10-01,2021-09-01,62,5,0
3,2022-03-01,random_forest,2,"{""max_depth"":2,""max_features"":1.0,""min_samples_leaf"":2,""n_estimators"":200}",0.21618340737500183,12,2020-10-01,2021-09-01,62,5,0
3,2022-03-01,random_forest,3,"{""max_depth"":2,""max_features"":0.5,""min_samples_leaf"":5,""n_estimators"":200}",0.12560452002530043,12,2020-10-01,2021-09-01,62,5,0
3,2022-03-01,random_forest,4,"{""max_depth"":2,""max_features"":1.0,""min_samples_leaf"":5,""n_estimators"":200}",0.15012707159414576,12,2020-10-01,2021-09-01,62,5,0
3,2022-03-01,random_forest,5,"{""max_depth"":4,""max_features"":0.5,""min_samples_leaf"":2,""n_estimators"":200}",0.20442373092015567,12,2020-10-01,2021-09-01,62,5,0
3,2022-03-01,random_forest,6,"{""max_depth"":4,""max_features"":1.0,""min_samples_leaf"":2,""n_estimators"":200}",0.2027959018105174,12,2020-10-01,2021-09-01,62,5,0
3,2022-03-01,random_forest,7,"{""max_depth"":4,""max_features"":0.5,""min_samples_leaf"":5,""n_estimators"":200}",0.12228075818084592,12,2020-10-01,2021-09-01,62,5,1
3,2022-03-01,random_forest,8,"{""max_depth"":4,""max_features"":1.0,""min_samples_leaf"":5,""n_estimators"":200}",0.14034848166651862,12,2020-10-01,2021-09-01,62,5,0
3,2022-03-01,xgboost,1,"{""colsample_bytree"":0.8,""learning_rate"":0.03,""max_depth"":2,""min_child_weight"":2.0,""n_estimators"":150,""reg_lambda"":1.0,""subsample"":0.8}",0.19460588360967523,12,2020-10-01,2021-09-01,62,5,0
3,2022-03-01,xgboost,2,"{""colsample_bytree"":0.8,""learning_rate"":0.03,""max_depth"":2,""min_child_weight"":5.0,""n_estimators"":150,""reg_lambda"":1.0,""subsample"":0.8}",0.19278425223736526,12,2020-10-01,2021-09-01,62,5,0
3,2022-03-01,xgboost,3,"{""colsample_bytree"":0.8,""learning_rate"":0.1,""max_depth"":2,""min_child_weight"":2.0,""n_estimators"":150,""reg_lambda"":1.0,""subsample"":0.8}",0.20051930178539415,12,2020-10-01,2021-09-01,62,5,0
3,2022-03-01,xgboost,4,"{""colsample_bytree"":0.8,""learning_rate"":0.1,""max_depth"":2,""min_child_weight"":5.0,""n_estimators"":150,""reg_lambda"":1.0,""subsample"":0.8}",0.18361703912935143,12,2020-10-01,2021-09-01,62,5,0
3,2022-03-01,xgboost,5,"{""colsample_bytree"":0.8,""learning_rate"":0.03,""max_depth"":3,""min_child_weight"":2.0,""n_estimators"":150,""reg_lambda"":1.0,""subsample"":0.8}",0.17813092704895092,12,2020-10-01,2021-09-01,62,5,0
3,2022-03-01,xgboost,6,"{""colsample_bytree"":0.8,""learning_rate"":0.03,""max_depth"":3,""min_child_weight"":5.0,""n_estimators"":150,""reg_lambda"":1.0,""subsample"":0.8}",0.16421436406904022,12,2020-10-01,2021-09-01,62,5,1
3,2022-03-01,xgboost,7,"{""colsample_bytree"":0.8,""learning_rate"":0.1,""max_depth"":3,""min_child_weight"":2.0,""n_estimators"":150,""reg_lambda"":1.0,""subsample"":0.8}",0.191246953531961,12,2020-10-01,2021-09-01,62,5,0
3,2022-03-01,xgboost,8,"{""colsample_bytree"":0.8,""learning_rate"":0.1,""max_depth"":3,""min_child_weight"":5.0,""n_estimators"":150,""reg_lambda"":1.0,""subsample"":0.8}",0.17634287962611575,12,2020-10-01,2021-09-01,62,5,0
4,2023-03-01,elastic_net,1,"{""alpha"":0.001,""l1_ratio"":0.1,""max_iter"":20000}",0.47109785669045184,12,2021-10-01,2022-09-01,74,5,0
