fold_id,outer_test_start,model,candidate_id,parameters,inner_mae,inner_validation_origins,inner_validation_start,inner_validation_end,minimum_inner_training_rows,maximum_inner_purged_rows,selected,feature_set,feature_count
1,2020-03-01,elastic_net_full_23,1,"{""alpha"":0.001,""l1_ratio"":0.1,""max_iter"":20000}",0.2101699318976916,12,2018-10-01,2019-09-01,38,5,0,full_23,23
1,2020-03-01,elastic_net_full_23,2,"{""alpha"":0.001,""l1_ratio"":0.5,""max_iter"":20000}",0.21959071256086393,12,2018-10-01,2019-09-01,38,5,0,full_23,23
1,2020-03-01,elastic_net_full_23,3,"{""alpha"":0.001,""l1_ratio"":0.9,""max_iter"":20000}",0.2228328060289485,12,2018-10-01,2019-09-01,38,5,0,full_23,23
1,2020-03-01,elastic_net_full_23,4,"{""alpha"":0.01,""l1_ratio"":0.1,""max_iter"":20000}",0.21951881352711453,12,2018-10-01,2019-09-01,38,5,0,full_23,23
1,2020-03-01,elastic_net_full_23,5,"{""alpha"":0.01,""l1_ratio"":0.5,""max_iter"":20000}",0.20431544437628502,12,2018-10-01,2019-09-01,38,5,0,full_23,23
1,2020-03-01,elastic_net_full_23,6,"{""alpha"":0.01,""l1_ratio"":0.9,""max_iter"":20000}",0.1992113192938533,12,2018-10-01,2019-09-01,38,5,0,full_23,23
1,2020-03-01,elastic_net_full_23,7,"{""alpha"":0.1,""l1_ratio"":0.1,""max_iter"":20000}",0.19585233491612267,12,2018-10-01,2019-09-01,38,5,0,full_23,23
1,2020-03-01,elastic_net_full_23,8,"{""alpha"":0.1,""l1_ratio"":0.5,""max_iter"":20000}",0.19813158587067994,12,2018-10-01,2019-09-01,38,5,0,full_23,23
1,2020-03-01,elastic_net_full_23,9,"{""alpha"":0.1,""l1_ratio"":0.9,""max_iter"":20000}",0.18841490749978926,12,2018-10-01,2019-09-01,38,5,0,full_23,23
1,2020-03-01,elastic_net_full_23,10,"{""alpha"":0.5,""l1_ratio"":0.1,""max_iter"":20000}",0.19487662695032246,12,2018-10-01,2019-09-01,38,5,0,full_23,23
1,2020-03-01,elastic_net_full_23,11,"{""alpha"":0.5,""l1_ratio"":0.5,""max_iter"":20000}",0.18710914738989373,12,2018-10-01,2019-09-01,38,5,1,full_23,23
1,2020-03-01,elastic_net_full_23,12,"{""alpha"":0.5,""l1_ratio"":0.9,""max_iter"":20000}",0.18710914738989373,12,2018-10-01,2019-09-01,38,5,0,full_23,23
1,2020-03-01,elastic_net_core_10,1,"{""alpha"":0.001,""l1_ratio"":0.1,""max_iter"":20000}",0.28242562580484637,12,2018-10-01,2019-09-01,38,5,0,core_10,10
1,2020-03-01,elastic_net_core_10,2,"{""alpha"":0.001,""l1_ratio"":0.5,""max_iter"":20000}",0.26585727879790305,12,2018-10-01,2019-09-01,38,5,0,core_10,10
1,2020-03-01,elastic_net_core_10,3,"{""alpha"":0.001,""l1_ratio"":0.9,""max_iter"":20000}",0.2512215539198303,12,2018-10-01,2019-09-01,38,5,0,core_10,10
1,2020-03-01,elastic_net_core_10,4,"{""alpha"":0.01,""l1_ratio"":0.1,""max_iter"":20000}",0.2385827862500748,12,2018-10-01,2019-09-01,38,5,0,core_10,10
1,2020-03-01,elastic_net_core_10,5,"{""alpha"":0.01,""l1_ratio"":0.5,""max_iter"":20000}",0.21405811423481427,12,2018-10-01,2019-09-01,38,5,0,core_10,10
1,2020-03-01,elastic_net_core_10,6,"{""alpha"":0.01,""l1_ratio"":0.9,""max_iter"":20000}",0.19603485075637095,12,2018-10-01,2019-09-01,38,5,0,core_10,10
1,2020-03-01,elastic_net_core_10,7,"{""alpha"":0.1,""l1_ratio"":0.1,""max_iter"":20000}",0.17842946037298113,12,2018-10-01,2019-09-01,38,5,1,core_10,10
