observation_date,forecast_issue_date,pandemic_period,inflation_regime,policy_rate_regime,activity_regime,ipc_yoy,tpm_monthly_average,imacec_yoy_pct,evaluated_split
2020-03-01,2020-04-29,pandemic,lower_inflation,lower_policy_rate,activity_non_contraction,3.736201434,1.38,1.6313210162385516,development
2020-04-01,2020-05-28,pandemic,lower_inflation,lower_policy_rate,activity_contraction,3.424472063,0.5,-4.9273528495774155,development
2020-05-01,2020-06-26,pandemic,lower_inflation,lower_policy_rate,activity_contraction,2.751963838,0.5,-13.502256004192482,development
2020-06-01,2020-07-30,pandemic,lower_inflation,lower_policy_rate,activity_contraction,2.628031381,0.5,-15.2290302313551,development
2020-07-01,2020-08-28,pandemic,lower_inflation,lower_policy_rate,activity_contraction,2.501811368,0.5,-14.501914745709065,development
2020-08-01,2020-09-29,pandemic,lower_inflation,lower_policy_rate,activity_contraction,2.445426635,0.5,-12.53729808211932,development
2020-09-01,2020-10-29,pandemic,lower_inflation,lower_policy_rate,activity_contraction,3.083712086,0.5,-10.933699183267898,development
2020-10-01,2020-11-27,pandemic,lower_inflation,lower_policy_rate,activity_contraction,2.956460095,0.5,-6.497349326852575,development
2020-11-01,2020-12-30,pandemic,lower_inflation,lower_policy_rate,activity_contraction,2.728012833,0.5,-0.8926392860316157,development
2020-12-01,2021-01-28,pandemic,lower_inflation,lower_policy_rate,activity_non_contraction,2.972870899,0.5,0.38895820363236133,development
2021-01-01,2021-02-25,pandemic,lower_inflation,lower_policy_rate,activity_non_contraction,3.112206333,0.5,0.19914609809479344,development
2021-02-01,2021-03-30,pandemic,lower_inflation,lower_policy_rate,activity_contraction,2.842162039,0.5,-1.3485728204294278,development
2021-03-01,2021-04-29,non_pandemic,lower_inflation,lower_policy_rate,activity_non_contraction,2.888043137,0.5,1.2099380112681635,development
2021-04-01,2021-05-28,non_pandemic,lower_inflation,lower_policy_rate,activity_non_contraction,3.317926702,0.5,5.447846431168979,development
2021-05-01,2021-06-29,non_pandemic,lower_inflation,lower_policy_rate,activity_non_contraction,3.647043435,0.5,13.12158996212367,development
2021-06-01,2021-07-29,non_pandemic,lower_inflation,lower_policy_rate,activity_non_contraction,3.804306983,0.5,19.032930547929183,development
2021-07-01,2021-08-30,non_pandemic,lower_inflation,lower_policy_rate,activity_non_contraction,4.539198756,0.63,20.96360632747556,development
2021-08-01,2021-09-29,non_pandemic,lower_inflation,lower_policy_rate,activity_non_contraction,4.776414855,0.75,19.878686588112558,development
2021-09-01,2021-10-28,non_pandemic,lower_inflation,lower_policy_rate,activity_non_contraction,5.341392625,1.5,16.973851067691736,development
2021-10-01,2021-11-29,non_pandemic,high_inflation,lower_policy_rate,activity_non_contraction,6.025915976,2.25,13.569968013941281,development
2021-11-01,2021-12-30,non_pandemic,high_inflation,lower_policy_rate,activity_non_contraction,6.701179435,2.75,12.980212375775778,development
2021-12-01,2022-01-28,non_pandemic,high_inflation,lower_policy_rate,activity_non_contraction,7.17284093,3.46,12.475788440425607,development
2022-01-01,2022-02-28,non_pandemic,high_inflation,lower_policy_rate,activity_non_contraction,7.703733136,4.21,8.989807028684993,development
2022-02-01,2022-03-30,non_pandemic,high_inflation,high_policy_rate,activity_non_contraction,7.815572432,5.5,6.306360577663828,development
2022-03-01,2022-04-28,non_pandemic,high_inflation,high_policy_rate,activity_non_contraction,9.404368917,5.63,4.292778100711225,development
2022-04-01,2022-05-30,non_pandemic,high_inflation,high_policy_rate,activity_non_contraction,10.51752852,7.0,6.979742944918987,development
2022-05-01,2022-06-29,non_pandemic,high_inflation,high_policy_rate,activity_non_contraction,11.54280527,8.02,7.283573438218571,development
2022-06-01,2022-07-28,non_pandemic,high_inflation,high_policy_rate,activity_non_contraction,12.49339779,8.81,5.018374010536197,development
2022-07-01,2022-08-30,non_pandemic,high_inflation,high_policy_rate,activity_non_contraction,13.12472889,9.43,2.784273534378112,development
2022-08-01,2022-09-29,non_pandemic,high_inflation,high_policy_rate,activity_contraction,14.08466187,9.75,-1.4491146769330054,development
2022-09-01,2022-10-27,non_pandemic,high_inflation,high_policy_rate,activity_non_contraction,13.73133171,10.55,0.8281001753560391,development
2022-10-01,2022-11-29,non_pandemic,high_inflation,high_policy_rate,activity_non_contraction,12.80663704,11.07,0.30136318652176364,development
2022-11-01,2022-12-29,non_pandemic,high_inflation,high_policy_rate,activity_contraction,13.34145686,11.25,-1.5401890978507082,development
2022-12-01,2023-01-31,non_pandemic,high_inflation,high_policy_rate,activity_contraction,12.78165415,11.25,-2.7993455172539927,development
2023-01-01,2023-02-28,non_pandemic,high_inflation,high_policy_rate,activity_contraction,12.34033586,11.25,-1.780833557746364,development
2023-02-01,2023-03-31,non_pandemic,high_inflation,high_policy_rate,activity_non_contraction,12.31319042,11.25,0.6140534608792603,development
2023-03-01,2023-04-28,non_pandemic,high_inflation,high_policy_rate,activity_contraction,11.06821175,11.25,-0.11415119197422108,development
2023-04-01,2023-05-31,non_pandemic,high_inflation,high_policy_rate,activity_contraction,9.82433626,11.25,-1.3676408146382713,development
2023-05-01,2023-06-30,non_pandemic,high_inflation,high_policy_rate,activity_non_contraction,8.872233088,11.25,0.0018844594691369565,development
2023-06-01,2023-07-31,non_pandemic,high_inflation,high_policy_rate,activity_contraction,7.400533369,11.25,-0.6499102313281102,development
2023-07-01,2023-08-31,non_pandemic,high_inflation,high_policy_rate,activity_non_contraction,6.070659613,11.2,0.16457330123369474,development
2023-08-01,2023-09-29,non_pandemic,lower_inflation,high_policy_rate,activity_non_contraction,4.925131055,10.25,2.998068885372107,development
2023-09-01,2023-10-31,non_pandemic,lower_inflation,high_policy_rate,activity_non_contraction,4.686963759,9.62,0.5200481506699717,development
2023-10-01,2023-11-30,non_pandemic,lower_inflation,high_policy_rate,activity_non_contraction,4.453530541,9.45,1.266900673330018,development
2023-11-01,2023-12-29,non_pandemic,lower_inflation,high_policy_rate,activity_non_contraction,4.215618051,9.0,2.0254048992658147,development
2023-12-01,2024-01-31,non_pandemic,lower_inflation,high_policy_rate,activity_non_contraction,3.37450056,8.72,2.4331941815435965,development
