regime_dimension,regime,model,n,mae,rmse,median_absolute_error,directional_accuracy,correlation,mae_improvement_vs_zero_pct
pandemic_period,pandemic,zero_change,12,0.6408806651406809,0.81306524074943,0.5739161801954001,0.0,,0.0
pandemic_period,pandemic,elastic_net,12,0.6564825032346938,0.8492595550746266,0.6173490950469174,0.25,-0.5810490490349244,-2.434437320805763
pandemic_period,pandemic,random_forest,12,0.7916089811951236,0.9511150742176061,0.640474352131298,0.4166666666666667,-0.8890470402688381,-23.51893640313771
pandemic_period,pandemic,xgboost,12,0.7316124534910301,0.9529565904087443,0.5988436771054954,0.4166666666666667,-0.8341426471224058,-14.157360845085337
pandemic_period,non_pandemic,zero_change,34,0.3605675245847376,0.4466265127160376,0.26902698128943503,0.0,,0.0
pandemic_period,non_pandemic,elastic_net,34,0.453615336168869,0.5395521945878149,0.4174260652047916,0.47058823529411764,-0.14626112398714894,-25.805932381540384
pandemic_period,non_pandemic,random_forest,34,0.510134182890872,0.6407890879777326,0.4921827247842282,0.5588235294117647,0.4459894256078317,-41.48090110954638
pandemic_period,non_pandemic,xgboost,34,0.46820224174690367,0.5460797665973744,0.44269144780468794,0.4117647058823529,0.27660238489102906,-29.85147297614448
inflation_regime,high_inflation,zero_change,22,0.4528253183797023,0.5315537467389112,0.49608684352254995,0.0,,0.0
inflation_regime,high_inflation,elastic_net,22,0.4234278335208083,0.5106199812148331,0.3966787526965573,0.5,-0.26794870827427136,6.4920143962099885
inflation_regime,high_inflation,random_forest,22,0.5805324975861889,0.6780858463949456,0.6198695695572563,0.5454545454545454,0.5912156537493721,-28.202305397464933
inflation_regime,high_inflation,xgboost,22,0.5244787798323566,0.589836481084416,0.545144095903871,0.45454545454545453,0.41365252064465335,-15.823642924614816
inflation_regime,lower_inflation,zero_change,24,0.4161544505506584,0.595083074279743,0.24733637166994005,0.0,,0.0
inflation_regime,lower_inflation,elastic_net,24,0.5827207971291704,0.7307742489747932,0.5203825978183905,0.3333333333333333,0.07489792274215323,-40.025126814842466
inflation_regime,lower_inflation,random_forest,24,0.5863397935722907,0.7826395445405573,0.3909721087278307,0.5,-0.7284592552029828,-40.89475501137664
inflation_regime,lower_inflation,xgboost,24,0.5483205210406351,0.7467280102722572,0.34537794405276334,0.375,-0.7146601116389928,-31.758898725003096
policy_rate_regime,high_policy_rate,zero_change,23,0.3692635597706909,0.4723367488188556,0.2442451285193603,0.0,,0.0
policy_rate_regime,high_policy_rate,elastic_net,23,0.42587264045335294,0.5091081813310424,0.40101332269288537,0.391304347826087,0.05904175133507779,-15.33026457249551
policy_rate_regime,high_policy_rate,random_forest,23,0.6181138265991858,0.7369912572666473,0.6406493448671436,0.6086956521739131,0.5787382077223949,-67.3909624288485
policy_rate_regime,high_policy_rate,xgboost,23,0.5135505167759955,0.5967764353016285,0.5275101442404497,0.5217391304347826,0.47779605930220437,-39.07424742774656
policy_rate_regime,lower_policy_rate,zero_change,23,0.4981218236018853,0.6455100158620695,0.3179475154693301,0.0,,0.0
policy_rate_regime,lower_policy_rate,elastic_net,23,0.5872017712230763,0.7399021286348245,0.5055471661165728,0.43478260869565216,0.3214788840566227,-17.883165001095495
policy_rate_regime,lower_policy_rate,random_forest,23,0.5490109556891243,0.7319898516302052,0.4176751791927071,0.43478260869565216,-0.41727790269280607,-10.216202076685402
policy_rate_regime,lower_policy_rate,xgboost,23,0.5602853815408345,0.7473184622711605,0.37601944915606333,0.30434782608695654,-0.7214900144013952,-12.479589328058092
activity_regime,activity_contraction,zero_change,16,0.5374345931913831,0.722726735497511,0.30837270254329996,0.0,,0.0
activity_regime,activity_contraction,elastic_net,16,0.569568438616967,0.758110052907523,0.3822412552276346,0.375,-0.0006213886082774817,-5.979117427995732
activity_regime,activity_contraction,random_forest,16,0.7345201424710772,0.9161058182116031,0.7351106313526805,0.4375,-0.29138025726326633,-36.671541388760396
activity_regime,activity_contraction,xgboost,16,0.6729618826636258,0.8661028949484636,0.4815926745812915,0.4375,-0.19559041638690883,-25.217448074463782
activity_regime,activity_non_contraction,zero_change,30,0.37836367755023737,0.46035190541595955,0.29838670210251006,0.0,,0.0
activity_regime,activity_non_contraction,elastic_net,30,0.4729205483562133,0.5584851913521491,0.45341056895342513,0.43333333333333335,-0.04214391580175744,-24.991001096668718
activity_regime,activity_non_contraction,random_forest,30,0.5030515904364632,0.6161223625626786,0.4740727676839933,0.5666666666666667,0.3801216961639203,-32.95451447494464
activity_regime,activity_non_contraction,xgboost,30,0.46436118462230247,0.5487644714808962,0.47452934774484334,0.4,0.1989171570147256,-22.72879564678794
