model,n,mae,mae_difference_vs_zero_pp,mae_improvement_vs_zero_pct,loss_difference_ci95_lower_pp,loss_difference_ci95_upper_pp,bootstrap_probability_better_than_zero,paired_month_win_rate,mean_error_bias_pp,p90_absolute_error_pp,maximum_absolute_error_pp,ex_pandemic_n,ex_pandemic_mae,ex_pandemic_mae_difference_vs_zero_pp,block_length_months,bootstrap_replications,ci_conclusion
autoregressive_ols,46,0.6279935365255732,0.19430084483928517,-44.80150312973979,-0.06932368516787592,0.4461804504430264,0.0766,0.2826086956521739,0.40927821585041163,1.4385567974488578,1.7109885659654762,34,0.5757849637564804,0.21521743917174274,6,10000,inconclusive
elastic_net,46,0.5065372058382146,0.07284451415192651,-16.796343481992228,-0.01884678631162253,0.18571837926231605,0.0662,0.2826086956521739,0.04754581941699049,0.9628835225875938,1.4538543878445045,34,0.453615336168869,0.09304781158413139,6,10000,inconclusive
elastic_net_ar_core_5,46,0.5185746638147845,0.08488197212849637,-19.571916648735176,-0.010487755517118214,0.19112733985180158,0.042,0.2608695652173913,0.026624179891612292,0.8859956308216583,1.4538543878445045,34,0.4671380208134054,0.10657049622866777,6,10000,inconclusive
elastic_net_core_10,46,0.681791909661148,0.24809921797486,-57.206225221411536,0.06781951275825579,0.45930896787594805,0.0005,0.1956521739130435,-0.06006961804186495,1.312027250650625,2.5412202785765974,34,0.45177538957657315,0.09120786499183553,6,10000,worse_than_zero
elastic_net_macro_core_8,46,0.6640108998958183,0.23031820820953025,-53.1063152837565,0.03676096597328672,0.4670692548801358,0.0039,0.32608695652173914,-0.013824612407063274,1.293229511721333,2.5766852255252544,34,0.4172350177676338,0.056667493182896156,6,10000,worse_than_zero
last_observed_change,46,0.5538149066988761,0.12012221501258807,-27.69754190358331,-0.11263847644493384,0.33850036161553615,0.1524,0.41304347826086957,0.012735146253156096,1.289125110682815,1.71685474588263,34,0.3650301255605312,0.004462600975793596,6,10000,inconclusive
moving_average_change_12,46,0.6181017669677834,0.1844090752814953,-42.52067853956085,0.05297896095915183,0.3117506608104224,0.0031,0.2391304347826087,0.021177250286358387,1.0292000976272009,1.6222834889020135,34,0.5619269218912255,0.2013593973064879,6,10000,worse_than_zero
random_forest,46,0.583562391144155,0.14986969945786696,-34.55665782034327,-0.05711768345188711,0.40641545196246376,0.0982,0.3695652173913043,-0.20918316083958544,1.275605158678985,1.6365552096696079,34,0.510134182890872,0.14956665830613436,6,10000,inconclusive
seasonal_naive_change_12,46,0.7297969153486311,0.29610422366234307,-68.275124146323,0.15748406188665884,0.4389900901651948,0.0,0.10869565217391304,0.03854458017034109,1.1937830704203152,1.7215894387766402,34,0.682281623705717,0.32171409912097937,6,10000,worse_than_zero
xgboost,46,0.536917949158415,0.10322525747212687,-23.80147497315793,-0.04302977348219839,0.27648583497654805,0.095,0.34782608695652173,-0.08144403324986133,1.0775771614950498,1.6387808820997884,34,0.46820224174690367,0.10763471716216605,6,10000,inconclusive
