model,bin_id,probability_lower,probability_upper,n,mean_probability,event_rate,calibration_gap
historical_prevalence,1,0.0,0.2,9,0.19728836075432285,0.4444444444444444,-0.24715608369012157
historical_prevalence,2,0.2,0.4,37,0.2038679019851796,0.32432432432432434,-0.12045642233914475
logistic_regression,1,0.0,0.2,31,0.003280599192805042,0.22580645161290322,-0.22252585242009817
logistic_regression,5,0.8,1.0,15,0.990619286511423,0.6,0.39061928651142297
random_forest,1,0.0,0.2,5,0.13602806082279847,0.0,0.13602806082279847
random_forest,2,0.2,0.4,19,0.31065153062573403,0.3684210526315789,-0.0577695220058449
random_forest,3,0.4,0.6,1,0.41432082593274955,0.0,0.41432082593274955
random_forest,4,0.6,0.8,16,0.7071699688934269,0.4375,0.26966996889342687
random_forest,5,0.8,1.0,5,0.8518862097345057,0.4,0.45188620973450566
xgboost,1,0.0,0.2,19,0.09434021725074242,0.21052631578947367,-0.11618609853873126
xgboost,2,0.2,0.4,5,0.28159101605415343,0.6,-0.31840898394584655
xgboost,3,0.4,0.6,2,0.4694702923297882,0.5,-0.030529707670211792
xgboost,4,0.6,0.8,5,0.7113492727279663,0.6,0.11134927272796635
xgboost,5,0.8,1.0,15,0.8799845695495605,0.3333333333333333,0.5466512362162272
