fold_id,outer_test_start,model,candidate_id,parameters,inner_average_precision,inner_roc_auc,inner_brier_score,inner_event_rate,inner_validation_origins,inner_validation_start,inner_validation_end,minimum_inner_training_rows,maximum_inner_purged_rows,selected
1,2020-03-01,logistic_regression,1,"{""C"":0.1,""max_iter"":5000}",0.5708380161505162,0.625,0.23144514974503724,0.3333333333333333,24,2017-10-01,2019-09-01,26,5,0
1,2020-03-01,logistic_regression,2,"{""C"":1.0,""max_iter"":5000}",0.5718968531468531,0.671875,0.25827126862190325,0.3333333333333333,24,2017-10-01,2019-09-01,26,5,0
1,2020-03-01,logistic_regression,3,"{""C"":10.0,""max_iter"":5000}",0.614556277056277,0.734375,0.2645915006204202,0.3333333333333333,24,2017-10-01,2019-09-01,26,5,1
1,2020-03-01,random_forest,1,"{""max_depth"":2,""max_features"":0.5,""min_samples_leaf"":2,""n_estimators"":200}",0.4415933402346446,0.609375,0.24074286841810977,0.3333333333333333,24,2017-10-01,2019-09-01,26,5,1
1,2020-03-01,random_forest,2,"{""max_depth"":2,""max_features"":1.0,""min_samples_leaf"":2,""n_estimators"":200}",0.38300414862914867,0.578125,0.2746942178393111,0.3333333333333333,24,2017-10-01,2019-09-01,26,5,0
1,2020-03-01,random_forest,3,"{""max_depth"":2,""max_features"":0.5,""min_samples_leaf"":5,""n_estimators"":200}",0.3751503704628705,0.5703125,0.2409337669267864,0.3333333333333333,24,2017-10-01,2019-09-01,26,5,0
1,2020-03-01,random_forest,4,"{""max_depth"":2,""max_features"":1.0,""min_samples_leaf"":5,""n_estimators"":200}",0.36807515401265406,0.5546875,0.27424995984291217,0.3333333333333333,24,2017-10-01,2019-09-01,26,5,0
1,2020-03-01,random_forest,5,"{""max_depth"":4,""max_features"":0.5,""min_samples_leaf"":2,""n_estimators"":200}",0.39634740259740264,0.5703125,0.25696258439262126,0.3333333333333333,24,2017-10-01,2019-09-01,26,5,0
1,2020-03-01,random_forest,6,"{""max_depth"":4,""max_features"":1.0,""min_samples_leaf"":2,""n_estimators"":200}",0.3793583152958153,0.5703125,0.27910335204825465,0.3333333333333333,24,2017-10-01,2019-09-01,26,5,0
1,2020-03-01,random_forest,7,"{""max_depth"":4,""max_features"":0.5,""min_samples_leaf"":5,""n_estimators"":200}",0.37041552197802197,0.5625,0.24233822746277975,0.3333333333333333,24,2017-10-01,2019-09-01,26,5,0
1,2020-03-01,random_forest,8,"{""max_depth"":4,""max_features"":1.0,""min_samples_leaf"":5,""n_estimators"":200}",0.3639542748917749,0.546875,0.2748435616179436,0.3333333333333333,24,2017-10-01,2019-09-01,26,5,0
1,2020-03-01,xgboost,1,"{""colsample_bytree"":0.8,""learning_rate"":0.03,""max_depth"":2,""min_child_weight"":2.0,""n_estimators"":150,""reg_lambda"":1.0,""subsample"":0.8}",0.5089962121212122,0.609375,0.25586232850895124,0.3333333333333333,24,2017-10-01,2019-09-01,26,5,0
1,2020-03-01,xgboost,2,"{""colsample_bytree"":0.8,""learning_rate"":0.03,""max_depth"":2,""min_child_weight"":5.0,""n_estimators"":150,""reg_lambda"":1.0,""subsample"":0.8}",0.41168236069131203,0.421875,0.24562952488830733,0.3333333333333333,24,2017-10-01,2019-09-01,26,5,0
1,2020-03-01,xgboost,3,"{""colsample_bytree"":0.8,""learning_rate"":0.1,""max_depth"":2,""min_child_weight"":2.0,""n_estimators"":150,""reg_lambda"":1.0,""subsample"":0.8}",0.47556198316647236,0.515625,0.2560579028185466,0.3333333333333333,24,2017-10-01,2019-09-01,26,5,0
1,2020-03-01,xgboost,4,"{""colsample_bytree"":0.8,""learning_rate"":0.1,""max_depth"":2,""min_child_weight"":5.0,""n_estimators"":150,""reg_lambda"":1.0,""subsample"":0.8}",0.4532802279083744,0.4453125,0.23823546162874346,0.3333333333333333,24,2017-10-01,2019-09-01,26,5,0
1,2020-03-01,xgboost,5,"{""colsample_bytree"":0.8,""learning_rate"":0.03,""max_depth"":3,""min_child_weight"":2.0,""n_estimators"":150,""reg_lambda"":1.0,""subsample"":0.8}",0.5133821770334928,0.609375,0.25596011523464596,0.3333333333333333,24,2017-10-01,2019-09-01,26,5,1
1,2020-03-01,xgboost,6,"{""colsample_bytree"":0.8,""learning_rate"":0.03,""max_depth"":3,""min_child_weight"":5.0,""n_estimators"":150,""reg_lambda"":1.0,""subsample"":0.8}",0.41168236069131203,0.421875,0.24562952488830733,0.3333333333333333,24,2017-10-01,2019-09-01,26,5,0
1,2020-03-01,xgboost,7,"{""colsample_bytree"":0.8,""learning_rate"":0.1,""max_depth"":3,""min_child_weight"":2.0,""n_estimators"":150,""reg_lambda"":1.0,""subsample"":0.8}",0.47556198316647236,0.515625,0.2541028468419147,0.3333333333333333,24,2017-10-01,2019-09-01,26,5,0
1,2020-03-01,xgboost,8,"{""colsample_bytree"":0.8,""learning_rate"":0.1,""max_depth"":3,""min_child_weight"":5.0,""n_estimators"":150,""reg_lambda"":1.0,""subsample"":0.8}",0.4532802279083744,0.4453125,0.23823546162874346,0.3333333333333333,24,2017-10-01,2019-09-01,26,5,0
2,2021-03-01,logistic_regression,1,"{""C"":0.1,""max_iter"":5000}",0.3898711430913245,0.36363636363636365,0.5047533254826556,0.4583333333333333,24,2018-10-01,2020-09-01,38,5,0
2,2021-03-01,logistic_regression,2,"{""C"":1.0,""max_iter"":5000}",0.4836897724714512,0.5524475524475524,0.5028201041764803,0.4583333333333333,24,2018-10-01,2020-09-01,38,5,0
2,2021-03-01,logistic_regression,3,"{""C"":10.0,""max_iter"":5000}",0.5697883542849217,0.6573426573426573,0.4997220289234566,0.4583333333333333,24,2018-10-01,2020-09-01,38,5,1
2,2021-03-01,random_forest,1,"{""max_depth"":2,""max_features"":0.5,""min_samples_leaf"":2,""n_estimators"":200}",0.3489525395485148,0.24475524475524477,0.4546157241136861,0.4583333333333333,24,2018-10-01,2020-09-01,38,5,0
2,2021-03-01,random_forest,2,"{""max_depth"":2,""max_features"":1.0,""min_samples_leaf"":2,""n_estimators"":200}",0.3607401112819069,0.2867132867132867,0.4940400187155504,0.4583333333333333,24,2018-10-01,2020-09-01,38,5,0
2,2021-03-01,random_forest,3,"{""max_depth"":2,""max_features"":0.5,""min_samples_leaf"":5,""n_estimators"":200}",0.3510644724759557,0.2517482517482518,0.4374099125895605,0.4583333333333333,24,2018-10-01,2020-09-01,38,5,0
2,2021-03-01,random_forest,4,"{""max_depth"":2,""max_features"":1.0,""min_samples_leaf"":5,""n_estimators"":200}",0.36127168754877736,0.2867132867132867,0.4835385518834312,0.4583333333333333,24,2018-10-01,2020-09-01,38,5,0
2,2021-03-01,random_forest,5,"{""max_depth"":4,""max_features"":0.5,""min_samples_leaf"":2,""n_estimators"":200}",0.34722093781691304,0.23776223776223776,0.4679273678785652,0.4583333333333333,24,2018-10-01,2020-09-01,38,5,0
2,2021-03-01,random_forest,6,"{""max_depth"":4,""max_features"":1.0,""min_samples_leaf"":2,""n_estimators"":200}",0.3504457804134134,0.2517482517482518,0.49223825288005507,0.4583333333333333,24,2018-10-01,2020-09-01,38,5,0
2,2021-03-01,random_forest,7,"{""max_depth"":4,""max_features"":0.5,""min_samples_leaf"":5,""n_estimators"":200}",0.351813945819012,0.2517482517482518,0.4407960635466713,0.4583333333333333,24,2018-10-01,2020-09-01,38,5,0
2,2021-03-01,random_forest,8,"{""max_depth"":4,""max_features"":1.0,""min_samples_leaf"":5,""n_estimators"":200}",0.36329188956897934,0.2937062937062937,0.4808742029447923,0.4583333333333333,24,2018-10-01,2020-09-01,38,5,1
2,2021-03-01,xgboost,1,"{""colsample_bytree"":0.8,""learning_rate"":0.03,""max_depth"":2,""min_child_weight"":2.0,""n_estimators"":150,""reg_lambda"":1.0,""subsample"":0.8}",0.3877368890139788,0.36363636363636365,0.5252458865956865,0.4583333333333333,24,2018-10-01,2020-09-01,38,5,0
2,2021-03-01,xgboost,2,"{""colsample_bytree"":0.8,""learning_rate"":0.03,""max_depth"":2,""min_child_weight"":5.0,""n_estimators"":150,""reg_lambda"":1.0,""subsample"":0.8}",0.3694564348307664,0.3006993006993007,0.45497178649226133,0.4583333333333333,24,2018-10-01,2020-09-01,38,5,0
2,2021-03-01,xgboost,3,"{""colsample_bytree"":0.8,""learning_rate"":0.1,""max_depth"":2,""min_child_weight"":2.0,""n_estimators"":150,""reg_lambda"":1.0,""subsample"":0.8}",0.39261958801432484,0.3776223776223776,0.558056976835298,0.4583333333333333,24,2018-10-01,2020-09-01,38,5,0
2,2021-03-01,xgboost,4,"{""colsample_bytree"":0.8,""learning_rate"":0.1,""max_depth"":2,""min_child_weight"":5.0,""n_estimators"":150,""reg_lambda"":1.0,""subsample"":0.8}",0.3630826902566033,0.27972027972027974,0.4631959327928825,0.4583333333333333,24,2018-10-01,2020-09-01,38,5,0
2,2021-03-01,xgboost,5,"{""colsample_bytree"":0.8,""learning_rate"":0.03,""max_depth"":3,""min_child_weight"":2.0,""n_estimators"":150,""reg_lambda"":1.0,""subsample"":0.8}",0.3811434824205722,0.34965034965034963,0.5211019824466304,0.4583333333333333,24,2018-10-01,2020-09-01,38,5,0
2,2021-03-01,xgboost,6,"{""colsample_bytree"":0.8,""learning_rate"":0.03,""max_depth"":3,""min_child_weight"":5.0,""n_estimators"":150,""reg_lambda"":1.0,""subsample"":0.8}",0.3694564348307664,0.3006993006993007,0.45497178649226133,0.4583333333333333,24,2018-10-01,2020-09-01,38,5,0
2,2021-03-01,xgboost,7,"{""colsample_bytree"":0.8,""learning_rate"":0.1,""max_depth"":3,""min_child_weight"":2.0,""n_estimators"":150,""reg_lambda"":1.0,""subsample"":0.8}",0.39553334092807774,0.38461538461538464,0.5484737178547098,0.4583333333333333,24,2018-10-01,2020-09-01,38,5,1
2,2021-03-01,xgboost,8,"{""colsample_bytree"":0.8,""learning_rate"":0.1,""max_depth"":3,""min_child_weight"":5.0,""n_estimators"":150,""reg_lambda"":1.0,""subsample"":0.8}",0.3630826902566033,0.27972027972027974,0.4631959327928825,0.4583333333333333,24,2018-10-01,2020-09-01,38,5,0
3,2022-03-01,logistic_regression,1,"{""C"":0.1,""max_iter"":5000}",0.2704184704184704,0.6105263157894737,0.3332987440812014,0.20833333333333334,24,2019-10-01,2021-09-01,50,5,0
3,2022-03-01,logistic_regression,2,"{""C"":1.0,""max_iter"":5000}",0.3474786324786325,0.7263157894736842,0.3016753036477679,0.20833333333333334,24,2019-10-01,2021-09-01,50,5,0
3,2022-03-01,logistic_regression,3,"{""C"":10.0,""max_iter"":5000}",0.361060606060606,0.7368421052631579,0.29160730356724607,0.20833333333333334,24,2019-10-01,2021-09-01,50,5,1
3,2022-03-01,random_forest,1,"{""max_depth"":2,""max_features"":0.5,""min_samples_leaf"":2,""n_estimators"":200}",0.14705533596837944,0.14736842105263157,0.3245914982939347,0.20833333333333334,24,2019-10-01,2021-09-01,50,5,0
3,2022-03-01,random_forest,2,"{""max_depth"":2,""max_features"":1.0,""min_samples_leaf"":2,""n_estimators"":200}",0.1767378756509191,0.2631578947368421,0.31724564019030466,0.20833333333333334,24,2019-10-01,2021-09-01,50,5,1
3,2022-03-01,random_forest,3,"{""max_depth"":2,""max_features"":0.5,""min_samples_leaf"":5,""n_estimators"":200}",0.1587336576467011,0.22105263157894736,0.32609032617172085,0.20833333333333334,24,2019-10-01,2021-09-01,50,5,0
3,2022-03-01,random_forest,4,"{""max_depth"":2,""max_features"":1.0,""min_samples_leaf"":5,""n_estimators"":200}",0.1646103896103896,0.25263157894736843,0.3341946556452334,0.20833333333333334,24,2019-10-01,2021-09-01,50,5,0
3,2022-03-01,random_forest,5,"{""max_depth"":4,""max_features"":0.5,""min_samples_leaf"":2,""n_estimators"":200}",0.1628129117259552,0.23157894736842105,0.2996196187309404,0.20833333333333334,24,2019-10-01,2021-09-01,50,5,0
3,2022-03-01,random_forest,6,"{""max_depth"":4,""max_features"":1.0,""min_samples_leaf"":2,""n_estimators"":200}",0.15326839826839828,0.18947368421052632,0.30819803438048576,0.20833333333333334,24,2019-10-01,2021-09-01,50,5,0
3,2022-03-01,random_forest,7,"{""max_depth"":4,""max_features"":0.5,""min_samples_leaf"":5,""n_estimators"":200}",0.16627979863273978,0.2631578947368421,0.3239020106177529,0.20833333333333334,24,2019-10-01,2021-09-01,50,5,0
3,2022-03-01,random_forest,8,"{""max_depth"":4,""max_features"":1.0,""min_samples_leaf"":5,""n_estimators"":200}",0.167723427467673,0.2736842105263158,0.32961001865799927,0.20833333333333334,24,2019-10-01,2021-09-01,50,5,0
3,2022-03-01,xgboost,1,"{""colsample_bytree"":0.8,""learning_rate"":0.03,""max_depth"":2,""min_child_weight"":2.0,""n_estimators"":150,""reg_lambda"":1.0,""subsample"":0.8}",0.20565656565656565,0.4105263157894737,0.3543187157481433,0.20833333333333334,24,2019-10-01,2021-09-01,50,5,0
